Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
392a4056677c40c59d0f17b5125ea0af8f40966fb5763350c60ada4f83d446e5,2017-11,Lincolnshire Police,Lincolnshire Police,-0.717710,53.101935,On or near PAILING'S RIDE,E01026192,North Kesteven 006A,Unable to prosecute suspect
47779497a2ec15c351cd5fd2540a1f9f211db869292d493c6bd506de6dece6a9,2017-11,Lincolnshire Police,Lincolnshire Police,-0.543884,53.225433,On or near Shopping Area,E01026132,Lincoln 005A,Investigation complete; no suspect identified
cab7f960771de98498985330d197d7caf0ac662239a7bacfcf1bff5b2cdfe4ae,2017-11,Lincolnshire Police,Lincolnshire Police,-0.150063,52.788429,On or near Further/Higher Educational Building,E01032995,South Holland 006F,Investigation complete; no suspect identified
f014d41ab6e6044c361d92df7d9a96506ec3154785afbd02aa2f17e459f2334d,2017-11,Lincolnshire Police,Lincolnshire Police,0.345759,53.149526,On or near Parking Area,E01026114,East Lindsey 014D,Investigation complete; no suspect identified
eeb01ebdfe4250bfcbbc8ec1c9eb128f64638df0fbcf1ad7bb39c7fc71ca0e5b,2017-11,Lincolnshire Police,Lincolnshire Police,-0.018506,52.979058,On or near BOTOLPH STREET,E01026025,Boston 003C,Investigation complete; no suspect identified
b1f9bc4f14ce166e81e75658ecdb84ae1f1f207145664a23143be8a650105230,2017-11,Lincolnshire Police,Lincolnshire Police,-0.522195,53.244503,On or near COTTINGHAM DRIVE,E01026156,Lincoln 004G,Unable to prosecute suspect
16892f6912a5c8a7265cfdf8125ca20b9756de971ce85e25408be076f897d95b,2017-11,Lincolnshire Police,Lincolnshire Police,-0.313166,53.211549,On or near ALMA MARTIN WAY,E01026366,West Lindsey 011A,Investigation complete; no suspect identified
78410f85a3aebd193d24dc7533b2c7b6c0b711772767414ce003439f33e0ac98,2017-11,Lincolnshire Police,Lincolnshire Police,0.335543,53.140142,On or near TENNYSON GREEN,E01026097,East Lindsey 015D,Unable to prosecute suspect
1ac40f1687a577d24b9a6cb453c8370c332ff68a1b748a63bd736f5ac6a1cfcc,2017-11,Lincolnshire Police,Lincolnshire Police,-0.562757,53.210254,On or near SKELLINGTHORPE ROAD,E01026172,Lincoln 010C,Investigation complete; no suspect identified
f839636c486cbf6e53197de875d7542263461b2b08eb9c0bb44a65b4d833840b,2017-11,Lincolnshire Police,Lincolnshire Police,-0.009328,52.970697,On or near ST NICHOLAS ROAD,E01026027,Boston 004D,Unable to prosecute suspect
8c569d1910c6c83d8b917bd79eaa2956e0341fcbc38148cb53b13384f3c22ce4,2017-11,Lincolnshire Police,Lincolnshire Police,-0.658410,52.908711,On or near HILL VIEW CLOSE,E01026309,South Kesteven 005B,Investigation complete; no suspect identified
8368980420969ac8a587bd88b45b1972a8411737dc7611195efe32464951312c,2017-11,Lincolnshire Police,Lincolnshire Police,0.181070,53.260087,On or near CAROLINE STREET,E01026042,East Lindsey 008A,Unable to prosecute suspect
d505574806c66092fe4eaaf9bab53286b5ac006e0d5a2db606cfa4d3b69b1f31,2017-11,Lincolnshire Police,Lincolnshire Police,-0.771401,53.394629,On or near CLEVELAND STREET,E01026384,West Lindsey 004F,Investigation complete; no suspect identified
95c8f33010ee8b92627889b90ce84ad724e32ff3ca0fdba83e961becef28fe19,2017-11,Lincolnshire Police,Lincolnshire Police,-0.417075,53.007069,On or near Supermarket,E01026236,North Kesteven 011E,Unable to prosecute suspect
a5dff834d53222d7e777c750ae60ab96ddaab17fbb63ccf3dbc10d705adfcc5d,2017-11,Lincolnshire Police,Lincolnshire Police,-0.544079,53.217461,On or near SHAKESPEARE STREET,E01026178,Lincoln 006D,Investigation complete; no suspect identified
c3f209e13692527f59e254abc9026cf6b6f8b3925332406f835d73a920aba06e,2017-11,Lincolnshire Police,Lincolnshire Police,-0.295037,52.673893,On or near EXETER CLOSE,E01026306,South Kesteven 014D,Local resolution
45490ae18b70e527033948ec461062ea717b21bddf4bbb901f1c61c3ff8ec892,2017-11,Lincolnshire Police,Lincolnshire Police,0.013545,52.806426,On or near Supermarket,E01026252,South Holland 003C,Investigation complete; no suspect identified
21c940260c3274789c96bb60ef5a4429ef10f5afa4742f52afb77e0c4693b6ce,2017-11,Lincolnshire Police,Lincolnshire Police,-0.293158,53.286150,On or near STATION MEWS,E01026121,East Lindsey 007C,Investigation complete; no suspect identified
093dcccb4c9e3e405fec23625d7db057fd825aae07dfdf14c598931d2352c108,2017-11,Lincolnshire Police,Lincolnshire Police,-0.547036,53.221255,On or near PRINCESS STREET,E01026132,Lincoln 005A,Unable to prosecute suspect
3d80f59be746df1f60b6c5c4ab657f2274d9404c4d05da8915881b75e27c488b,2017-11,Lincolnshire Police,Lincolnshire Police,-0.774185,53.392474,On or near BRIDGE ROAD,E01026383,West Lindsey 004E,Investigation complete; no suspect identified
eafd926d463850ba529f6d10f7c5de6ff69680dc6016a826711586407e22de2c,2017-11,Lincolnshire Police,Lincolnshire Police,-0.457295,53.244723,On or near Sports/Recreation Area,E01026369,West Lindsey 011B,Investigation complete; no suspect identified
1b5bce9942d9c693f01d17354f15d88bb12b7c07df07700caa3f942346b6f087,2017-11,Lincolnshire Police,Lincolnshire Police,-0.311408,53.285547,On or near PARKLAND WAY,E01026121,East Lindsey 007C,Investigation complete; no suspect identified
c26253e36535c7de24b791b9b17d9514ccec585b11363a77f3d2b023551a2598,2017-11,Lincolnshire Police,Lincolnshire Police,-0.384423,52.768692,On or near HOLLAND CLOSE,E01026301,South Kesteven 010C,Investigation complete; no suspect identified
5e4b3286481c3ae403bd062cc1cc79c1ee3b45fb021134bf531490f79ad53ad1,2017-11,Lincolnshire Police,Lincolnshire Police,-0.342145,53.394790,On or near LILY DRIVE,E01026392,West Lindsey 003D,Investigation complete; no suspect identified
18c4b6e2cc03119f0529bf76415e1d06875360508ecd7ffd54b38819bd6f7b48,2017-11,Lincolnshire Police,Lincolnshire Police,-0.031812,52.979963,On or near Supermarket,E01026032,Boston 002D,Investigation complete; no suspect identified
629fdfc42291059dfe4e4067429c6cbd14235c15f7af8ebbc0d058aa77c5d3fc,2017-11,Lincolnshire Police,Lincolnshire Police,0.340507,53.145637,On or near LUMLEY AVENUE,E01026093,East Lindsey 014B,Investigation complete; no suspect identified
6d0e8c38ab04b95bd8f61285533e036ebda58c41de682dcb0395f35c2941cb47,2017-11,Lincolnshire Police,Lincolnshire Police,-0.476278,52.653616,On or near STAR LANE,E01026351,South Kesteven 016C,Investigation complete; no suspect identified
3c1c0ca3a0a87a58906959640cac43befb2bfa013700e47026ce29379c6bcfac,2017-11,Lincolnshire Police,Lincolnshire Police,0.320669,53.151573,On or near PORTAL GREEN,E01026083,East Lindsey 015A,Investigation complete; no suspect identified
5567ba52e43b7e1c9f09cbc293242868c0aa64b0acc1441cd2f7d6f4c1dd67bb,2017-11,Lincolnshire Police,Lincolnshire Police,-0.032142,52.973027,On or near FRIARS GATE,E01026030,Boston 002C,Investigation complete; no suspect identified
5c97d72073c3531c93d1ac76567372d23f47424ba70dab7a92bb2e327731638b,2017-11,Lincolnshire Police,Lincolnshire Police,-0.557303,53.233552,On or near Petrol Station,E01026144,Lincoln 003B,Investigation complete; no suspect identified
e168c6e27df2469875b29aa0367a3256cd66c76df9c9e061897a7d76bced87a4,2017-11,Lincolnshire Police,Lincolnshire Police,0.340390,53.150360,On or near Petrol Station,E01026114,East Lindsey 014D,Investigation complete; no suspect identified
78dc3591a51eafdefccc784a7198605b4b9cddfd32f70776d66a919bbdcf18d4,2017-11,Lincolnshire Police,Lincolnshire Police,0.339121,53.143525,On or near PRINCE GEORGE STREET,E01026093,East Lindsey 014B,Unable to prosecute suspect
4d3321604e34f4af7b0a1e08accc0377ae90a8c99f225fd4102e8b412ca09f04,2017-11,Lincolnshire Police,Lincolnshire Police,0.339769,53.143062,On or near Shopping Area,E01026093,East Lindsey 014B,Investigation complete; no suspect identified
11b37f76d684975ad332428d7c802e1aa6c99e4e79c40edf2e0523ffe2852502,2017-11,Lincolnshire Police,Lincolnshire Police,-0.547796,53.228465,On or near Theatre/Concert Hall,E01026132,Lincoln 005A,Investigation complete; no suspect identified
3af44952c1997958d5b4719c4ec860c13926b3f7d2d39044076b145712ea068f,2017-11,Lincolnshire Police,Lincolnshire Police,-0.644091,52.911533,On or near WESTGATE,E01026323,South Kesteven 004D,Investigation complete; no suspect identified
aa3afb4f9b1686bf34c0a6065b3e1cd519ae5ed9a1b8ec0f353435cedc614f90,2017-11,Lincolnshire Police,Lincolnshire Police,-0.538414,53.250582,On or near Pedestrian Subway,E01026150,Lincoln 001B,Unable to prosecute suspect
7966fc1de1f8107ae78ee4fc92d0870499e1a7b32560ea77c9f25e02c98f3d80,2017-11,Lincolnshire Police,Lincolnshire Police,-0.550565,53.201925,On or near POPLAR STREET,E01026175,Lincoln 010E,Investigation complete; no suspect identified
28d78d517dbe494a4ed332b257013321dde3e55f662747ba826c0d05bffaa315,2017-11,Lincolnshire Police,Lincolnshire Police,0.323054,53.154188,On or near ALBANY CLOSE,E01026084,East Lindsey 012A,Investigation complete; no suspect identified
ed3037f48d6d71e92deeafa8ffa5180801e3fe709f65a11c941c617091d03f22,2017-11,Lincolnshire Police,Lincolnshire Police,-0.689750,53.169197,On or near BRACKEN ROAD,E01026193,North Kesteven 003C,Unable to prosecute suspect
7f1016b288c3f695d785d892bca812aca9d02d198da5ce496290180cd823a4f9,2017-11,Lincolnshire Police,Lincolnshire Police,-0.772018,53.398780,On or near Parking Area,E01026384,West Lindsey 004F,Investigation complete; no suspect identified
5ae942083a359cc167332cdef9804db42a711bc241f9ece942ff32c80899ca48,2017-11,Lincolnshire Police,Lincolnshire Police,-0.595091,53.189073,On or near LINDUM MEWS,E01032992,North Kesteven 014F,Investigation complete; no suspect identified
a1c03764d4ca1bee644e6caac201d4dfef98d915e75348f8623aae2d0d022f86,2017-11,Lincolnshire Police,Lincolnshire Police,-0.407595,52.994545,On or near Supermarket,E01026231,North Kesteven 010C,Unable to prosecute suspect
596bad6ad7a38b3f96a42a9fd1785cedaa78f8c86ef0baa4558af3f979511ff6,2017-11,Lincolnshire Police,Lincolnshire Police,-0.552887,53.235206,On or near BEDFORD STREET,E01026145,Lincoln 005C,Investigation complete; no suspect identified
9c879e0f240ec5814de5347a008973268898bb3a1a1c47557c33589212d65a8f,2017-11,Lincolnshire Police,Lincolnshire Police,-0.544887,53.230299,On or near NEWLAND,E01026143,Lincoln 005B,Investigation complete; no suspect identified
7d103fbdc573b268f3338e1d04ee7025cfef441021b99f87046854bba77f7a31,2017-11,Lincolnshire Police,Lincolnshire Police,-0.537266,53.234998,On or near Shopping Area,E01026167,Lincoln 003G,Investigation complete; no suspect identified
a8a89c2350e7c59f30cd834f8192ecd630976e97191f0ba5886ec5f95503cfe3,2017-11,Lincolnshire Police,Lincolnshire Police,-0.717710,53.101935,On or near PAILING'S RIDE,E01026192,North Kesteven 006A,Unable to prosecute suspect
ba28b124cc976b4966f1311e9329c547e5dfa7f06174983b52733fd821a0e974,2017-11,Lincolnshire Police,Lincolnshire Police,-0.757147,53.394527,On or near Sports/Recreation Area,E01026374,West Lindsey 006A,Investigation complete; no suspect identified
